event_id,start_idx,end_idx,start_date,end_date,duration,magnitude,intensity,peak,peak_idx,peak_date,interarrival
1,128,135,1968-09-01,1969-04-01,8,2.090787410736084,0.2613484263420105,1.618877649307251,130,1968-11-01,61.0
2,189,197,1973-10-01,1974-06-01,9,2.115471839904785,0.23505242665608725,1.6198347806930542,190,1973-11-01,18.0
3,207,219,1975-04-01,1976-04-01,13,7.253481864929199,0.5579601434560922,1.9947583675384521,211,1975-08-01,79.0
4,286,293,1981-11-01,1982-06-01,8,1.791788101196289,0.22397351264953613,1.6319605112075806,291,1982-04-01,202.0
5,488,500,1998-09-01,1999-09-01,13,11.949758529663086,0.9192121945894681,2.6339783668518066,497,1999-06-01,144.0
6,632,643,2010-09-01,2011-08-01,12,12.10609245300293,1.0088410377502441,2.445244789123535,639,2011-04-01,73.0
7,705,716,2016-10-01,2017-09-01,12,9.510721206665039,0.7925601005554199,2.2916953563690186,711,2017-04-01,72.0
8,777,781,2022-10-01,2023-02-01,5,0.5730340480804443,0.11460680961608886,1.5353330373764038,777,2022-10-01,
